ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
northeuralex-fin-EYE-1,northeuralex-fin-1_eye-1,northeuralex-fin,EYE,silmä,silmæ,s i l m æ,,,,,,
northeuralex-fin-EAR-1,northeuralex-fin-2_ear-1,northeuralex-fin,EAR,korva,kɔrʋɑ,k ɔ r ʋ ɑ,,,,,,
northeuralex-fin-NOSE-1,northeuralex-fin-3_nose-1,northeuralex-fin,NOSE,nenä,nɛnæ,n ɛ n æ,,,,,,
northeuralex-fin-MOUTH-1,northeuralex-fin-4_mouth-1,northeuralex-fin,MOUTH,suu,suː,s uː,,,,,,
northeuralex-fin-TOOTH-1,northeuralex-fin-5_tooth-1,northeuralex-fin,TOOTH,hammas,hɑmːɑs,h ɑ mː ɑ s,,,,,,
northeuralex-fin-TONGUE-1,northeuralex-fin-6_tongue-1,northeuralex-fin,TONGUE,kieli,kiɛ̯li,k iɛ l i,,,,,,
northeuralex-fin-LIP-1,northeuralex-fin-7_lip-1,northeuralex-fin,LIP,huuli,huːli,h uː l i,,,,,,
northeuralex-fin-CHEEK-1,northeuralex-fin-8_cheek-1,northeuralex-fin,CHEEK,poski,pɔski,p ɔ s k i,,,,,,
northeuralex-fin-FACE-1,northeuralex-fin-9_face-1,northeuralex-fin,FACE,naama,nɑːmɑ,n ɑː m ɑ,,,,,,
northeuralex-fin-FACE-2,northeuralex-fin-9_face-2,northeuralex-fin,FACE,kasvot,kɑsʋɔt,k ɑ s ʋ ɔ t,,,,,,
northeuralex-fin-FOREHEAD-1,northeuralex-fin-10_forehead-1,northeuralex-fin,FOREHEAD,otsa,ɔt͡sɑ,ɔ ts ɑ,,,,,,
northeuralex-fin-HAIR-1,northeuralex-fin-11_hair-1,northeuralex-fin,HAIR,hius,hiu̯s,h iu s,,,,,,
northeuralex-fin-HAIR-2,northeuralex-fin-11_hair-2,northeuralex-fin,HAIR,tukka,tʊkːɑ,t ʊ kː ɑ,,,,,,
northeuralex-fin-MOUSTACHE-1,northeuralex-fin-12_moustache-1,northeuralex-fin,MOUSTACHE,viikset,ʋiːksɛt,ʋ iː k s ɛ t,,,,,,
northeuralex-fin-BEARD-1,northeuralex-fin-13_beard-1,northeuralex-fin,BEARD,parta,pɑrtɑ,p ɑ r t ɑ,,,,,,
northeuralex-fin-CHIN-1,northeuralex-fin-14_chin-1,northeuralex-fin,CHIN,leuka,lɛʊkɑ,l ɛ ʊ k ɑ,,,,,,
northeuralex-fin-JAW-1,northeuralex-fin-15_jaw-1,northeuralex-fin,JAW,leukaluu,lɛʊkɑluː,l ɛ ʊ k ɑ l uː,,,,,,
northeuralex-fin-THROAT-1,northeuralex-fin-16_throat-1,northeuralex-fin,THROAT,kurkku,kʊrkːʊ,k ʊ r kː ʊ,,,,,,
northeuralex-fin-NECK-1,northeuralex-fin-17_neck-1,northeuralex-fin,NECK,kaula,kɑwlɑ,k ɑ w l ɑ,,,,,,
northeuralex-fin-NAPEOFNECK-1,northeuralex-fin-18_nape-1,northeuralex-fin,NAPEOFNECK,niska,niskɑ,n i s k ɑ,,,,,,
northeuralex-fin-HEAD-1,northeuralex-fin-19_head-1,northeuralex-fin,HEAD,pää,pæː,p æː,,,,,,
northeuralex-fin-BACK-1,northeuralex-fin-20_back-1,northeuralex-fin,BACK,selkä,sɛlkæ,s ɛ l k æ,,,,,,
