ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Concept_Count
abrahammonpa-MonpaKalaktang,Monpa Kalaktang,kala1376,Kalaktang Monpa,kkf,Eurasia,27.104162,92.113017,Sino-Tibetan,310
abrahammonpa-MonpaSangti,Monpa Sangti,tsha1245,Tshangla,tsj,Eurasia,27.402266,92.314934,Sino-Tibetan,293
abrahammonpa-MonpaChangprong,Monpa Changprong,dakp1242,Dakpakha,dka,Eurasia,27.578928,91.876393,Sino-Tibetan,304
abrahammonpa-HrusoAkaJamiri,Hruso Aka Jamiri,hrus1242,Hruso,hru,Eurasia,27.184929,92.599114,Sino-Tibetan,292
abrahammonpa-NamreiNabolang,Namrei Nabolang,miji1239,Miji,,,27.546333,92.797975,Sino-Tibetan,308
allenbai-Eryuan,Eryuan,eryu1239,Eryuan,,Eurasia,26.538056,99.910000,Sino-Tibetan,399
allenbai-Heqing,Heqing,heqi1238,Heqing,,Eurasia,26.0991374,99.9416161,Sino-Tibetan,399
allenbai-Jianchuan,Jianchuan,jian1239,Jianchuan,,Eurasia,26.5536208,100.1396921,Sino-Tibetan,409
allenbai-Lanping,Lanping,lanp1241,Lanping,,Eurasia,26.5158555,99.2581092,Sino-Tibetan,407
allenbai-Luobenzhuo,Luobenzhuo,nuji1238,Jinman Bai,,Eurasia,26.4240223,98.8862088,Sino-Tibetan,397
allenbai-Qiliqiao,Qiliqiao,qili1234,Qiliqiao,,Eurasia,25.6553283,100.1709288,Sino-Tibetan,403
allenbai-Xiangyun,Xiangyun,xian1250,Xiangyun,,Eurasia,25.5313657,100.4478932,Sino-Tibetan,400
allenbai-Yunlong,Yunlong,yunl1238,Yunlong,,Eurasia,25.9223745,99.0352884,Sino-Tibetan,400
allenbai-Zhoucheng,Zhoucheng,zhou1234,Zhoucheng,,Eurasia,25.8958633,100.0987848,Sino-Tibetan,398
bantubvd-2,Bukusu E.31c,buku1249,Bukusu,bxk,Africa,0.68043,34.7719,Atlantic-Congo,381
bantubvd-3,Koyo C.24,koyo1242,Koyo,koh,Africa,-0.69688,15.7508,Atlantic-Congo,346
bantubvd-4,Bemba M.42,bemb1257,Bemba (Zambia),bem,Africa,-10.6122,29.2993,Atlantic-Congo,358
bantubvd-5,Basaa A.43a,basa1284,Basa (Cameroon),bas,Africa,3.80765,10.4213,Atlantic-Congo,355
bantubvd-7,Rumanyo (Gciriku) K.38,diri1252,Diriku-Shambyu,diu,Africa,-18.1681,20.6678,Atlantic-Congo,373
bantubvd-8,Lega D.25,lega1249,Lega-Shabunda,lea,Africa,-3.83196,27.1424,Atlantic-Congo,329
bantubvd-9,Tswana S.30,tswa1253,Tswana,tsn,Africa,-24.368,24.7587,Atlantic-Congo,365
beidasinitic-Beijing,Beijing,beij1234,Beijing Mandarin,,Eurasia,39.9385466,116.1172766,Sino-Tibetan,518
beidasinitic-Changsha,Changsha,chan1326,Changsha,,Eurasia,28.85032,112.943344,Sino-Tibetan,488
beidasinitic-Chaozhou,Chaozhou,chao1238,Chaozhou,,Eurasia,23.666667,116.633333,Sino-Tibetan,523
beidasinitic-Chengdu,Chengdu,chen1267,Chengdu Mandarin,,Eurasia,30.605768,103.970947,Sino-Tibetan,498
beidasinitic-Fuzhou,Fuzhou,fuzh1239,Houguan,,Eurasia,26.08904,119.294243,Sino-Tibetan,543
beidasinitic-Guangzhou,Guangzhou,guan1279,Guangzhou,,Eurasia,23.1253503,112.9476548,Sino-Tibetan,529
beidasinitic-Hefei,Hefei,hefe1234,Hefei Mandarin,,Eurasia,31.873593,117.223663,Sino-Tibetan,482
beidasinitic-Jinan,Jinan,jina1245,Jinan Mandarin,,Eurasia,36.690777,116.997299,Sino-Tibetan,493
beidasinitic-Kunming,Kunming,kunm1234,Kunming Chinese,,Eurasia,25.049711,102.72274,Sino-Tibetan,480
beidasinitic-Meixian,Meixian,yuet1238,Meixian,,Eurasia,24.3522958,115.8903375,Sino-Tibetan,500
beidasinitic-Nanchang,Nanchang,nanc1254,Nanchang,,Eurasia,28.706609,115.857468,Sino-Tibetan,510
beidasinitic-Shenyang,Shenyang,shen1252,Shenyang Mandarin,,Eurasia,41.8049906,123.1563167,Sino-Tibetan,498
beidasinitic-Suzhou,Suzhou,suzh1234,Suzhou,,Eurasia,31.3280439,120.364116,Sino-Tibetan,526
beidasinitic-Wenzhou,Wenzhou,ouji1238,Wenzhou,,Eurasia,28.005496,120.701179,Sino-Tibetan,508
beidasinitic-XiAn,Xi_an,xian1253,Xi'an Mandarin,,Eurasia,34.228154,108.960571,Sino-Tibetan,485
beidasinitic-Xiamen,Xiamen,xiam1236,Xiamen,,Eurasia,24.49421,118.08918,Sino-Tibetan,554
beidasinitic-Yangjiang,Yangjiang,yang1307,Yangjiang,,Eurasia,21.7895612,111.966667,Sino-Tibetan,480
beidasinitic-Yangzhou,Yangzhou,yang1306,Yangzhou Mandarin,,Eurasia,32.4171449,119.209227,Sino-Tibetan,511
bodtkhobwa-Duhumbi,Duhumbi,chug1252,Duhumbi,cvg,Eurasia,27.42,92.23,Sino-Tibetan,560
bodtkhobwa-Jerigaon,Jerigaon,jeri1243,Jerigaon,,Eurasia,27.340629,92.486595,Sino-Tibetan,400
bodtkhobwa-Khispi,Khispi,lish1235,Khispi,lsh,Eurasia,27.37,92.23,Sino-Tibetan,487
bodtkhobwa-Khoina,Khoina,khoi1253,Khoina,,Eurasia,27.334981,92.52994,Sino-Tibetan,404
bodtkhobwa-Khoitam,Khoitam,khoi1252,Khoitam,,Eurasia,27.327487,92.439455,Sino-Tibetan,446
bodtkhobwa-Rahung,Rahung,rahu1234,Rahung,,Eurasia,27.310778,92.395028,Sino-Tibetan,436
bodtkhobwa-Rupa,Rupa,rupa1234,Rupa,,Eurasia,27.203065,92.398757,Sino-Tibetan,474
bodtkhobwa-Shergaon,Shergaon,sher1261,Shergaon,,Eurasia,27.105018,92.272133,Sino-Tibetan,362
bowernpny-Adnyamathanha,Adnyamathanha,adny1235,Adnyamathanha,adt,Australia,-30.1451,138.671,Pama-Nyungan,276
bowernpny-Alyawarr,Alyawarr,alya1239,Alyawarr,aly,Australia,-21.0427,136.835,Pama-Nyungan,262
bowernpny-Arabana,Arabana,arab1267,Arabana,ard,Australia,-28.705,135.449,Pama-Nyungan,282
