ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	TAG	BROADER_CONCEPT	BROADER_ID
Tjuka-2022-220-1	1	153	GREY	GREY	color		
Tjuka-2022-220-2	2	156	RED	RED	color		
Tjuka-2022-220-3	3	163	BLACK	BLACK	color	BLACK OR DARK	2633
Tjuka-2022-220-4	4	837	BLUE	BLUE	color	BLUE OR GREEN	2382
Tjuka-2022-220-5	5	1335	WHITE	WHITE	color		
Tjuka-2022-220-6	6	1424	YELLOW	YELLOW	color		
Tjuka-2022-220-7	7	1425	GREEN	GREEN	color	BLUE OR GREEN // GREEN OR UNRIPE	2382 // 2300
Tjuka-2022-220-8	8	2409	BROWN	BROWN	color		
Tjuka-2022-220-9	9	2452	PURPLE	PURPLE	color		
Tjuka-2022-220-10	10	3045	COPPER (COLOR)	COPPER (COLOR)	color		
Tjuka-2022-220-11	11	3328	ORANGE (COLOR)	ORANGE (COLOR)	color		
Tjuka-2022-220-12	12	3446	PINK	PINK	color		
Tjuka-2022-220-13	13	3604	LIGHT BLUE	LIGHT BLUE	color		
Tjuka-2022-220-14	14	3605	LIGHT GREEN	LIGHT GREEN	color		
Tjuka-2022-220-15	15	3706	DARK YELLOW	DARK YELLOW	color		
Tjuka-2022-220-16	16	3707	BEIGE	BEIGE	color		
Tjuka-2022-220-17	17	3750	KHAKI	KHAKI	color		
Tjuka-2022-220-18	18	3751	BRIGHT YELLOW	BRIGHT YELLOW	color		
Tjuka-2022-220-19	19	3752	LILAC	LILAC	color		
Tjuka-2022-220-20	20	3753	MAGENTA	MAGENTA	color		
Tjuka-2022-220-21	21	3795	DARK GREEN	DARK GREEN	color		
Tjuka-2022-220-22	22	3914	TURQUOISE	TURQUOISE	color		
Tjuka-2022-220-23	23	40	ENVY	ENVY	emotion		
Tjuka-2022-220-24	24	82	ANGER	ANGER	emotion		
Tjuka-2022-220-25	25	781	FEAR (FRIGHT)	FEAR (FRIGHT)	emotion		
Tjuka-2022-220-26	26	1000	ANXIETY	ANXIETY	emotion		
Tjuka-2022-220-27	27	1141	PITY	PITY	emotion		
Tjuka-2022-220-28	28	1668	GRIEF	GRIEF	emotion		
Tjuka-2022-220-29	29	1776	SHAME	SHAME	emotion		
Tjuka-2022-220-30	30	1783	PAIN	PAIN	emotion		
Tjuka-2022-220-31	31	1912	RESPECT (NOUN)	RESPECT (NOUN)	emotion		
Tjuka-2022-220-32	32	2016	JEALOUSY	JEALOUSY	emotion		
Tjuka-2022-220-33	33	2465	DISGUST	DISGUST	emotion		
Tjuka-2022-220-34	34	2524	JOY	JOY	emotion		
Tjuka-2022-220-35	35	2553	MISERY	MISERY	emotion		
Tjuka-2022-220-36	36	2941	HAPPINESS	HAPPINESS	emotion		
Tjuka-2022-220-37	37	2960	LONGING (WISH)	LONGING (WISH)	emotion		
Tjuka-2022-220-38	38	3049	COURAGE	COURAGE	emotion		
Tjuka-2022-220-39	39	3211	HOPE (FAITH)	HOPE (FAITH)	emotion		
Tjuka-2022-220-40	40	3468	KINDNESS	KINDNESS	emotion		
Tjuka-2022-220-41	41	3673	MOURNING	MOURNING	emotion		
Tjuka-2022-220-42	42	3749	HATE (LOATHING)	HATE (LOATHING)	emotion		
Tjuka-2022-220-43	43	3844	CONTEMPT	CONTEMPT	emotion		
Tjuka-2022-220-44	44	3845	DISAPPOINTMENT	DISAPPOINTMENT	emotion		
Tjuka-2022-220-45	45	3846	EXCITEMENT	EXCITEMENT	emotion		
Tjuka-2022-220-46	46	3847	INTEREST (FEELING)	INTEREST (FEELING)	emotion		
Tjuka-2022-220-47	47	3848	SURPRISE (FEELING)	SURPRISE (FEELING)	emotion		
Tjuka-2022-220-48	48	3849	TRIUMPH	TRIUMPH	emotion		
Tjuka-2022-220-49	49	3850	AMUSEMENT	AMUSEMENT	emotion		
Tjuka-2022-220-50	50	3851	AWE	AWE	emotion		
Tjuka-2022-220-51	51	3853	CONFUSION	CONFUSION	emotion		
Tjuka-2022-220-52	52	3854	SADNESS	SADNESS	emotion		
Tjuka-2022-220-53	53	3877	DEPRESSION	DEPRESSION	emotion		
Tjuka-2022-220-54	54	3915	PRIDE	PRIDE	emotion		
Tjuka-2022-220-55	55	3916	PLEASURE	PLEASURE	emotion		
Tjuka-2022-220-56	56	3834	LOVE (AFFECTION)	LOVE (AFFECTION)	emotion		
Tjuka-2022-220-59	59	1402	BREAST	BREAST	human body part	BREAST OR MILK	2129
Tjuka-2022-220-60	60	834	BUTTOCKS	BUTTOCKS	human body part		
Tjuka-2022-220-63	63	1173	EYEBROW	EYEBROW	human body part		
Tjuka-2022-220-65	65	1301	FOOT	FOOT	human body part	FOOT OR LEG	2098
Tjuka-2022-220-69	69	980	HEEL	HEEL	human body part		
Tjuka-2022-220-71	71	1371	KNEE	KNEE	human body part		
Tjuka-2022-220-85	85	803	ANKLE	ANKLE	human body part		
Tjuka-2022-220-87	87	1673	ARM	ARM	human body part	ARM OR HAND	2121
Tjuka-2022-220-90	90	1291	BACK	BACK	human body part		
Tjuka-2022-220-92	92	1251	BELLY	BELLY	human body part	BELLY OR STOMACH	2114
Tjuka-2022-220-100	100	1730	CHEEK	CHEEK	human body part		
Tjuka-2022-220-101	101	1592	CHEST	CHEST	human body part		
Tjuka-2022-220-102	102	1510	CHIN	CHIN	human body part		
Tjuka-2022-220-105	105	1247	EAR	EAR	human body part	EAR OR HEAR	2126
Tjuka-2022-220-106	106	981	ELBOW	ELBOW	human body part		
