Glottocode	Family
afro1255	Afro-Asiatic
araw1281	Arawakan
atla1278	Atlantic-Congo
aust1305	Austroasiatic
aust1307	Austronesian
cari1283	Cariban
chib1249	Chibchan
choc1280	Chocoan
coch1271	Cochimi-Yuman
dogo1299	Dogon
hmon1336	Hmong-Mien
huit1251	Huitotoan
indo1319	Indo-European
nakh1245	Nakh-Daghestanian
nyul1248	Nyulnyulan
pama1250	Pama-Nyungan
pano1259	Pano-Tacanan
sino1245	Sino-Tibetan
taik1256	Tai-Kadai
tuca1253	Tucanoan
tung1282	Tungusic
tupi1275	Tupian
turk1311	Turkic
ural1272	Uralic
utoa1244	Uto-Aztecan
