ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	TAG	FAMILY
4848	chenhmongmien-EasternLuobuohe	ANUS	tə⁰²qʰuŋ⁵⁵qa⁵⁵	tə⁰²qʰuŋ⁵⁵qa⁵⁵	t ə ² + qʰ u ŋ ⁵⁵ + q a ⁵⁵		human body part	Hmong-Mien
4891	chenhmongmien-WesternLuobuohe	ANUS	tə⁰²qʰoŋ⁵⁵qɑ⁵⁵	tə⁰²qʰoŋ⁵⁵qɑ⁵⁵	t ə ² + qʰ o ŋ ⁵⁵ + q ɑ ⁵⁵		human body part	Hmong-Mien
4934	chenhmongmien-Chuanqiandian	ANUS	qʰau⁵⁵qua⁵⁵	qʰau⁵⁵qua⁵⁵	qʰ au ⁵⁵ + q w a ⁵⁵		human body part	Hmong-Mien
4977	chenhmongmien-CentralGuizhouChuanqiandian	ANUS	qʰõ¹³qu¹³	qʰõ¹³qu¹³	qʰ õ ¹³ + q u ¹³		human body part	Hmong-Mien
5020	chenhmongmien-SouthernGuizhouChuanqiandian	ANUS	ȵtɕoŋ⁵⁵ha⁴²	ȵtɕoŋ⁵⁵ha⁴²	ⁿtɕ o ŋ ⁵⁵ + h a ⁴²		human body part	Hmong-Mien
5064	chenhmongmien-NortheastYunnanChuanqiandian	ANUS	qʰo⁵⁵qa⁵⁵	qʰo⁵⁵qa⁵⁵	qʰ o ⁵⁵ + q a ⁵⁵		human body part	Hmong-Mien
5107	chenhmongmien-WesternXiangxi	ANUS	qʰu⁴⁴qɑ⁴⁴	qʰu⁴⁴qɑ⁴⁴	qʰ u ⁴⁴ + q ɑ ⁴⁴		human body part	Hmong-Mien
5150	chenhmongmien-EasternXiangxi	ANUS	qʰa⁵⁵qa⁵⁵	qʰa⁵⁵qa⁵⁵	qʰ a ⁵⁵ + q a ⁵⁵		human body part	Hmong-Mien
5193	chenhmongmien-NorthernQiandong	ANUS	qʰaŋ³⁵qa³⁵	qʰaŋ³⁵qa³⁵	qʰ a ŋ ³⁵ + q a ³⁵		human body part	Hmong-Mien
5236	chenhmongmien-EasternQiandong	ANUS	ho³³qa³³	ho³³qa³³	h o ³³ + q a ³³		human body part	Hmong-Mien
5280	chenhmongmien-SouthernQiandong	ANUS	qʰaŋ⁵³tso⁵³qo⁵³	qʰaŋ⁵³tso⁵³qo⁵³	qʰ a ŋ ⁵³ + ts o ⁵³ + q o ⁵³		human body part	Hmong-Mien
5367	chenhmongmien-WesternBaheng	ANUS	ʔa⁰³tɕaŋ³³qa³¹	ʔa⁰³tɕaŋ³³qa³¹	ʔ a ³ + tɕ a ŋ ³³ + q a ³¹		human body part	Hmong-Mien
5411	chenhmongmien-EasternBaheng	ANUS	qʰuŋ³¹³qa³¹³	qʰuŋ³¹³qa³¹³	qʰ u ŋ ³¹³ + q a ³¹³		human body part	Hmong-Mien
5454	chenhmongmien-Dongnu	ANUS	kʰa⁵³kɔ⁵³	kʰa⁵³kɔ⁵³	kʰ a ⁵³ + k ɔ ⁵³		human body part	Hmong-Mien
5497	chenhmongmien-Nunu	ANUS	ŋan³¹ka³³	ŋan³¹ka³³	ŋ a n ³¹ + k a ³³		human body part	Hmong-Mien
5583	chenhmongmien-Bana	ANUS	kʰuŋ⁴⁴pi⁵⁵kaŋ¹³	kʰuŋ⁴⁴pi⁵⁵kaŋ¹³	kʰ u ŋ ⁴⁴ + p i ⁵⁵ + k a ŋ ¹³		human body part	Hmong-Mien
5626	chenhmongmien-Younuo	ANUS	kʰaŋ³³kɒ³³ʔo⁵⁴	kʰaŋ³³kɒ³³ʔo⁵⁴	kʰ a ŋ ³³ + k ɒ ³³ + ʔ o ⁵⁴		human body part	Hmong-Mien
