FAMILY_A	FAMILY_B	ARI_BODY	AMI_BODY	BCUBES_BODY
Afro-Asiatic	Arawakan	0.1379	0.1900	0.2138
Afro-Asiatic	Atlantic-Congo	0.3556	0.4292	0.3919
Afro-Asiatic	Austroasiatic	0.2253	0.2846	0.2476
Afro-Asiatic	Austronesian	0.2510	0.3428	0.3422
Afro-Asiatic	Chapacuran	0.0445	0.0704	0.0867
Afro-Asiatic	Chibchan	0.2184	0.2694	0.2292
Afro-Asiatic	Chocoan	0.2130	0.2554	0.2358
Afro-Asiatic	Dogon	0.0634	0.0988	0.1164
Afro-Asiatic	Hmong-Mien	0.1768	0.2619	0.3075
Afro-Asiatic	Huitotoan	0.0592	0.0918	0.1429
Afro-Asiatic	Indo-European	0.3642	0.4663	0.3914
Afro-Asiatic	Pama-Nyungan	0.2429	0.3137	0.3148
Afro-Asiatic	Sino-Tibetan	0.2306	0.3198	0.3395
Afro-Asiatic	Tai-Kadai	0.0634	0.0978	0.1469
Afro-Asiatic	Tucanoan	0.2267	0.2829	0.2037
Afro-Asiatic	Tupian	0.0919	0.1548	0.2064
Afro-Asiatic	Turkic	0.1859	0.2639	0.2463
Afro-Asiatic	Uralic	0.2246	0.2984	0.3178
Afro-Asiatic	Uto-Aztecan	0.2246	0.2701	0.2642
Arawakan	Atlantic-Congo	0.1501	0.2076	0.2831
Arawakan	Austroasiatic	0.1649	0.1867	0.1700
Arawakan	Austronesian	0.1102	0.1470	0.2395
Arawakan	Chapacuran	0.2664	0.2905	0.0728
Arawakan	Chibchan	0.4175	0.4695	0.2016
Arawakan	Chocoan	0.3231	0.3624	0.1949
Arawakan	Dogon	0.1045	0.1159	0.0814
Arawakan	Hmong-Mien	0.1065	0.1212	0.2276
Arawakan	Huitotoan	0.3325	0.3845	0.1441
Arawakan	Indo-European	0.1473	0.1929	0.2589
Arawakan	Pama-Nyungan	0.1250	0.1646	0.2307
Arawakan	Sino-Tibetan	0.0954	0.1604	0.2586
Arawakan	Tai-Kadai	0.1045	0.1118	0.1124
Arawakan	Tucanoan	0.4605	0.5235	0.1835
Arawakan	Tupian	0.0567	0.0913	0.1660
Arawakan	Turkic	0.0609	0.0709	0.1624
Arawakan	Uralic	0.1985	0.2268	0.2443
Arawakan	Uto-Aztecan	0.1985	0.2035	0.1886
Atlantic-Congo	Austroasiatic	0.1887	0.2409	0.2287
Atlantic-Congo	Austronesian	0.2127	0.2919	0.3045
Atlantic-Congo	Chapacuran	0.0490	0.0780	0.0842
Atlantic-Congo	Chibchan	0.2533	0.3200	0.2436
Atlantic-Congo	Chocoan	0.3079	0.3314	0.2525
Atlantic-Congo	Dogon	0.0459	0.0720	0.1028
Atlantic-Congo	Hmong-Mien	0.1324	0.1964	0.2775
Atlantic-Congo	Huitotoan	0.0870	0.1139	0.1411
Atlantic-Congo	Indo-European	0.3110	0.3816	0.3519
Atlantic-Congo	Pama-Nyungan	0.2118	0.2931	0.2924
Atlantic-Congo	Sino-Tibetan	0.2390	0.3202	0.3305
Atlantic-Congo	Tai-Kadai	0.0695	0.1077	0.1471
Atlantic-Congo	Tucanoan	0.2827	0.3009	0.2103
Atlantic-Congo	Tupian	0.1131	0.1922	0.2090
Atlantic-Congo	Turkic	0.1809	0.2556	0.2356
Atlantic-Congo	Uralic	0.2799	0.3601	0.3341
Atlantic-Congo	Uto-Aztecan	0.2041	0.2344	0.2376
Austroasiatic	Austronesian	0.3570	0.4530	0.3355
Austroasiatic	Chapacuran	0.0537	0.0764	0.0625
Austroasiatic	Chibchan	0.3052	0.3233	0.2049
Austroasiatic	Chocoan	0.3029	0.3321	0.2108
Austroasiatic	Dogon	0.0966	0.1349	0.0983
Austroasiatic	Hmong-Mien	0.4389	0.4896	0.3134
Austroasiatic	Huitotoan	0.0417	0.0582	0.1095
Austroasiatic	Indo-European	0.2888	0.3665	0.3116
Austroasiatic	Pama-Nyungan	0.2555	0.3411	0.2895
Austroasiatic	Sino-Tibetan	0.1597	0.2352	0.2838
Austroasiatic	Tai-Kadai	0.0966	0.1321	0.1289
Austroasiatic	Tucanoan	0.2928	0.3318	0.1687
Austroasiatic	Tupian	0.1963	0.2512	0.1923
Austroasiatic	Turkic	0.2201	0.2994	0.2191
Austroasiatic	Uralic	0.2880	0.3518	0.2886
Austroasiatic	Uto-Aztecan	0.2880	0.3071	0.2268
Austronesian	Chapacuran	0.0252	0.0405	0.0698
Austronesian	Chibchan	0.1659	0.2009	0.2019
Austronesian	Chocoan	0.2370	0.2871	0.2344
Austronesian	Dogon	0.0965	0.1284	0.1203
Austronesian	Hmong-Mien	0.1767	0.2631	0.2908
Austronesian	Huitotoan	0.0209	0.0329	0.1143
Austronesian	Indo-European	0.2564	0.3452	0.3352
Austronesian	Pama-Nyungan	0.2810	0.3842	0.3218
Austronesian	Sino-Tibetan	0.1358	0.2121	0.2877
Austronesian	Tai-Kadai	0.0476	0.0744	0.1348
Austronesian	Tucanoan	0.2124	0.2555	0.1862
Austronesian	Tupian	0.2082	0.3034	0.2330
Austronesian	Turkic	0.1868	0.2854	0.2488
Austronesian	Uralic	0.2102	0.2749	0.3005
Austronesian	Uto-Aztecan	0.2297	0.2909	0.2578
Chapacuran	Chibchan	0.0621	0.0858	0.1436
Chapacuran	Chocoan	0.0766	0.1005	0.1549
Chapacuran	Dogon	0.2498	0.2708	0.0802
Chapacuran	Hmong-Mien	0.0766	0.0875	0.2225
Chapacuran	Huitotoan	0.1535	0.1815	0.1045
Chapacuran	Indo-European	0.0710	0.0960	0.2414
Chapacuran	Pama-Nyungan	0.0381	0.0519	0.2104
Chapacuran	Sino-Tibetan	0.0227	0.0466	0.2274
Chapacuran	Tai-Kadai	0.2498	0.2498	0.1111
Chapacuran	Tucanoan	0.0711	0.1005	0.1166
Chapacuran	Tupian	0.0347	0.0608	0.1621
Chapacuran	Turkic	0.0949	0.1122	0.1621
Chapacuran	Uralic	0.0686	0.0787	0.2225
Chapacuran	Uto-Aztecan	0.0686	0.0860	0.1682
Chibchan	Chocoan	0.4800	0.5305	0.2437
Chibchan	Dogon	0.1101	0.1493	0.0959
Chibchan	Hmong-Mien	0.1828	0.2058	0.2518
Chibchan	Huitotoan	0.1448	0.1969	0.1345
Chibchan	Indo-European	0.2349	0.3053	0.2920
Chibchan	Pama-Nyungan	0.2469	0.3234	0.2703
Chibchan	Sino-Tibetan	0.1545	0.2235	0.2781
Chibchan	Tai-Kadai	0.0545	0.0722	0.1150
Chibchan	Tucanoan	0.4985	0.5498	0.2036
Chibchan	Tupian	0.1612	0.2415	0.1917
Chibchan	Turkic	0.1611	0.2139	0.1894
Chibchan	Uralic	0.3137	0.3745	0.2860
Chibchan	Uto-Aztecan	0.3137	0.2985	0.2212
Chocoan	Dogon	0.1324	0.1714	0.0956
Chocoan	Hmong-Mien	0.1645	0.2049	0.2493
Chocoan	Huitotoan	0.1701	0.1756	0.1202
Chocoan	Indo-European	0.3309	0.3594	0.3031
Chocoan	Pama-Nyungan	0.1592	0.2187	0.2431
Chocoan	Sino-Tibetan	0.1190	0.1800	0.2689
Chocoan	Tai-Kadai	0.1324	0.1669	0.1271
Chocoan	Tucanoan	0.5588	0.5139	0.1929
Chocoan	Tupian	0.1742	0.2596	0.1859
Chocoan	Turkic	0.2308	0.2959	0.1970
Chocoan	Uralic	0.3118	0.3571	0.2766
Chocoan	Uto-Aztecan	0.3118	0.3057	0.2145
Dogon	Hmong-Mien	0.0657	0.0754	0.2214
Dogon	Huitotoan	0.2346	0.2775	0.1180
Dogon	Indo-European	0.0989	0.1325	0.2465
Dogon	Pama-Nyungan	0.1061	0.1432	0.2218
Dogon	Sino-Tibetan	0.0327	0.0660	0.2295
Dogon	Tai-Kadai	0.1661	0.1752	0.1112
Dogon	Tucanoan	0.1866	0.2577	0.1294
Dogon	Tupian	0.0645	0.1097	0.1649
Dogon	Turkic	0.1592	0.1883	0.1704
Dogon	Uralic	0.1203	0.1386	0.2297
Dogon	Uto-Aztecan	0.0596	0.0742	0.1682
Hmong-Mien	Huitotoan	0.0556	0.0654	0.1082
Hmong-Mien	Indo-European	0.2022	0.2623	0.2823
Hmong-Mien	Pama-Nyungan	0.1863	0.2426	0.2563
Hmong-Mien	Sino-Tibetan	0.1087	0.2065	0.2772
Hmong-Mien	Tai-Kadai	0.1992	0.2233	0.1402
Hmong-Mien	Tucanoan	0.1176	0.1526	0.1363
Hmong-Mien	Tupian	0.2250	0.2690	0.1983
Hmong-Mien	Turkic	0.2774	0.3268	0.2201
Hmong-Mien	Uralic	0.2725	0.2875	0.2710
Hmong-Mien	Uto-Aztecan	0.1938	0.2362	0.2072
Huitotoan	Indo-European	0.0905	0.1215	0.2476
Huitotoan	Pama-Nyungan	0.0966	0.1306	0.2235
Huitotoan	Sino-Tibetan	0.0528	0.0918	0.2398
Huitotoan	Tai-Kadai	0.1169	0.1325	0.1115
Huitotoan	Tucanoan	0.3232	0.3998	0.1584
Huitotoan	Tupian	0.0284	0.0475	0.1620
Huitotoan	Turkic	0.0652	0.0791	0.1626
Huitotoan	Uralic	0.1037	0.1222	0.2294
Huitotoan	Uto-Aztecan	0.0510	0.0644	0.1692
Indo-European	Pama-Nyungan	0.2844	0.3424	0.3082
Indo-European	Sino-Tibetan	0.2062	0.3216	0.3188
Indo-European	Tai-Kadai	0.1323	0.1747	0.1582
Indo-European	Tucanoan	0.2722	0.3372	0.1912
Indo-European	Tupian	0.1971	0.2722	0.2153
Indo-European	Turkic	0.2443	0.3233	0.2391
Indo-European	Uralic	0.3927	0.4479	0.3436
Indo-European	Uto-Aztecan	0.1696	0.2271	0.2279
Pama-Nyungan	Sino-Tibetan	0.1558	0.2135	0.2856
Pama-Nyungan	Tai-Kadai	0.1061	0.1411	0.1426
Pama-Nyungan	Tucanoan	0.2076	0.2697	0.1759
Pama-Nyungan	Tupian	0.2050	0.3053	0.2213
Pama-Nyungan	Turkic	0.2296	0.2815	0.2326
Pama-Nyungan	Uralic	0.2569	0.3124	0.2925
Pama-Nyungan	Uto-Aztecan	0.1526	0.2055	0.2120
Sino-Tibetan	Tai-Kadai	0.0440	0.0882	0.1702
Sino-Tibetan	Tucanoan	0.1685	0.2524	0.2379
Sino-Tibetan	Tupian	0.0534	0.1084	0.2099
Sino-Tibetan	Turkic	0.1125	0.2058	0.2603
Sino-Tibetan	Uralic	0.1573	0.2605	0.3359
Sino-Tibetan	Uto-Aztecan	0.1269	0.1927	0.2692
Tai-Kadai	Tucanoan	0.0615	0.0827	0.1166
Tai-Kadai	Tupian	0.0645	0.1078	0.1707
Tai-Kadai	Turkic	0.2392	0.2750	0.1829
Tai-Kadai	Uralic	0.1809	0.2041	0.2412
Tai-Kadai	Uto-Aztecan	0.1203	0.1463	0.1771
Tucanoan	Tupian	0.0953	0.1602	0.1717
Tucanoan	Turkic	0.1313	0.1762	0.1822
Tucanoan	Uralic	0.2620	0.3080	0.2657
Tucanoan	Uto-Aztecan	0.2620	0.2539	0.2067
Tupian	Turkic	0.2138	0.3156	0.2259
Tupian	Uralic	0.1919	0.2700	0.2741
Tupian	Uto-Aztecan	0.1185	0.1886	0.2039
Turkic	Uralic	0.3027	0.3570	0.2769
Turkic	Uto-Aztecan	0.2591	0.3233	0.2155
Uralic	Uto-Aztecan	0.1456	0.1773	0.1906
