FAMILY_A, FAMILY_B, ARI, AMI, BCUBES
Hmong-Mien, Tucanoan, -0.2, -0.1999999999999997, 0.75
Hmong-Mien, Uto-Aztecan, 0.4473684210526316, 0.4473684210526315, 0.8571428571428571
Hmong-Mien, Austronesian, 0.11738484398216939, 0.18111274492413332, 0.5850495804729214
Hmong-Mien, Pano-Tacanan, 0.011976047904191617, 0.020443328118869994, 0.624
Hmong-Mien, Turkic, -0.08247422680412371, -0.09532170738555994, 0.6857142857142857
Hmong-Mien, Sino-Tibetan, 0.09302325581395349, 0.14939592672376042, 0.6
Hmong-Mien, Atlantic-Congo, 0.2857142857142857, 0.33543504342651026, 0.7500000000000001
Hmong-Mien, Uralic, -0.11627906976744186, -0.1273409646440674, 0.606060606060606
Hmong-Mien, Arawakan, -0.1111111111111111, -0.13434342793366996, 0.7407407407407408
Hmong-Mien, Tungusic, -0.1111111111111111, -0.13434342793366996, 0.7407407407407408
Hmong-Mien, Austroasiatic, 0.0719910011248594, 0.1055045307493069, 0.5502392344497608
Hmong-Mien, Tai-Kadai, 0.3898573692551506, 0.3370744508536074, 0.7272727272727271
Hmong-Mien, Afro-Asiatic, -0.07142857142857142, -0.07792588090780965, 0.6153846153846154
Hmong-Mien, Cariban, 0.05405405405405406, 0.08961829887404019, 0.6754385964912282
Hmong-Mien, Chocoan, -0.17647058823529413, -0.21602597703961482, 0.6857142857142857
Hmong-Mien, Indo-European, 0.10326086956521739, 0.19003505837843004, 0.5764966740576496
Hmong-Mien, Nakh-Daghestanian, -0.11627906976744186, -0.13788049078337566, 0.6481481481481481
Hmong-Mien, Tupian, 0.2636363636363636, 0.2814004917942185, 0.7306397306397306
Tucanoan, Uto-Aztecan, 0.6341463414634146, 0.6341463414634138, 0.9090909090909091
Tucanoan, Austronesian, 0.09259259259259259, 0.11041375619213638, 0.65625
Tucanoan, Pano-Tacanan, 0.0, -2.4025698778611937e-15, 0.7499999999999999
Tucanoan, Turkic, -0.1111111111111111, -0.11111111111111388, 0.8000000000000002
Tucanoan, Sino-Tibetan, -0.1111111111111111, -0.13434342793366932, 0.7407407407407408
Tucanoan, Atlantic-Congo, -0.20689655172413793, -0.315789473684211, 0.5333333333333333
Tucanoan, Uralic, -0.1111111111111111, -0.13434342793366932, 0.7407407407407408
Tucanoan, Arawakan, 0.0, 1.2813706015259653e-15, 0.8571428571428571
Tucanoan, Tungusic, 0.0, 0.0, 0.8
Tucanoan, Austroasiatic, -0.06779661016949153, -0.06779661016949327, 0.7792207792207793
Tucanoan, Tai-Kadai, -0.09375, -0.09375000000000248, 0.6818181818181818
Tucanoan, Afro-Asiatic, -0.0975609756097561, -0.09756097560975807, 0.7407407407407408
Tucanoan, Cariban, 0.4230769230769231, 0.4230769230769227, 0.8333333333333334
Tucanoan, Chocoan, 0.0, -2.4025698778611937e-15, 0.7499999999999999
Tucanoan, Indo-European, 0.09259259259259259, 0.12499999999999944, 0.717391304347826
Tucanoan, Nakh-Daghestanian, -0.15384615384615385, -0.15384615384615427, 0.6857142857142857
Tucanoan, Tupian, -0.19047619047619047, -0.2236233622843411, 0.6666666666666666
Uto-Aztecan, Austronesian, 0.32075471698113206, 0.41463414634146, 0.761904761904762
Uto-Aztecan, Pano-Tacanan, -0.19047619047619047, -0.22362336228434174, 0.6666666666666666
Uto-Aztecan, Turkic, 0.0, -9.610279511444844e-15, 0.888888888888889
Uto-Aztecan, Sino-Tibetan, 0.18181818181818182, 0.25000000000000033, 0.6666666666666666
Uto-Aztecan, Atlantic-Congo, 0.0, 5.389698919029921e-16, 0.6666666666666666
Uto-Aztecan, Uralic, 0.6341463414634146, 0.6341463414634138, 0.9090909090909091
Uto-Aztecan, Arawakan, 1.0, 1.0, 1.0
Uto-Aztecan, Tungusic, 1.0, 1.0, 1.0
Uto-Aztecan, Austroasiatic, -0.08247422680412371, -0.09532170738555754, 0.6857142857142857
Uto-Aztecan, Tai-Kadai, -0.07692307692307693, -0.07692307692308095, 0.75
Uto-Aztecan, Afro-Asiatic, 0.6440677966101694, 0.6440677966101689, 0.923076923076923
Uto-Aztecan, Cariban, 0.5294117647058824, 0.6923076923076924, 0.8571428571428571
Uto-Aztecan, Chocoan, 0.6341463414634146, 0.6341463414634135, 0.9090909090909091
Uto-Aztecan, Indo-European, 0.32075471698113206, 0.41463414634146023, 0.7969348659003831
Uto-Aztecan, Nakh-Daghestanian, 0.4444444444444444, 0.5373737117346725, 0.8749999999999999
