FAMILY_A, FAMILY_B, ARI, AMI, BCUBES
Atlantic-Congo, Pama-Nyungan, 0.2849740932642487, 0.3374997594506053, 0.6571146245059288
Atlantic-Congo, Uto-Aztecan, 0.10526315789473684, 0.14958376107134905, 0.6718803128187691
Atlantic-Congo, Arawakan, 0.16520650813516896, 0.22762623297530973, 0.5980026228185211
Atlantic-Congo, Austronesian, 0.15669205658324264, 0.28365298063167527, 0.5826204116229398
Atlantic-Congo, Pano-Tacanan, 0.3617778589029844, 0.5056134511787458, 0.7001953631507064
Atlantic-Congo, Turkic, 0.2163639286288378, 0.30517622475878714, 0.650833037929812
Atlantic-Congo, Sino-Tibetan, 0.2825561312607945, 0.33556104070260473, 0.5655986144187053
Atlantic-Congo, Tungusic, 0.29902912621359223, 0.396098923428966, 0.7142857142857142
Atlantic-Congo, Uralic, 0.3074626865671642, 0.37069879585443866, 0.6169785062625637
Atlantic-Congo, Tucanoan, 0.4152744630071599, 0.5114609118017887, 0.7514318442153494
Atlantic-Congo, Tupian, 0.11651640657178161, 0.20593553991905464, 0.5482259912585364
Atlantic-Congo, Tai-Kadai, 0.18002805049088358, 0.2350490296788807, 0.5739088497709188
Atlantic-Congo, Austroasiatic, 0.2535179041299622, 0.37457350633771497, 0.6533852717492116
Atlantic-Congo, Chocoan, 0.4354243542435424, 0.5214265080574757, 0.8277062304211625
Atlantic-Congo, Hmong-Mien, 0.4666666666666667, 0.5474540188588406, 0.7677158431510462
Atlantic-Congo, Nakh-Daghestanian, 0.3717181022570244, 0.38949671601587593, 0.6090859837616751
Atlantic-Congo, Indo-European, 0.30749318330859765, 0.3488247018335338, 0.5765030916984607
Atlantic-Congo, Afro-Asiatic, 0.3225237927388086, 0.42879185972890244, 0.6562110746234854
Atlantic-Congo, Cariban, 0.15910796611986705, 0.24326116642167372, 0.637303907699079
Pama-Nyungan, Uto-Aztecan, 0.38200339558573854, 0.4467515876360864, 0.7931769722814499
Pama-Nyungan, Arawakan, 0.27716535433070866, 0.2917531828725817, 0.7777777777777778
Pama-Nyungan, Austronesian, 0.276510067114094, 0.35981162205238304, 0.7193786605551311
Pama-Nyungan, Pano-Tacanan, 0.4513517420847188, 0.5229043671707589, 0.7678424938474159
Pama-Nyungan, Turkic, 0.3248730964467005, 0.38248215840216565, 0.7408239700374533
Pama-Nyungan, Sino-Tibetan, 0.20241691842900303, 0.2553017027802866, 0.5744064852345107
Pama-Nyungan, Tungusic, 0.5454545454545454, 0.572453365126817, 0.83125
