Concept	Frequency	Family	Tag	Random_Walk_Community	Random_Walk_Links	Language_Count	Language_Count_Weighted	Cognate_Count	Cognate_Count_Weighted
NIPPLE	1	Atlantic-Congo	human body part	1	BREAST:1.06;FACE:0.01	BREAST:1.00	BREAST:1.00	BREAST:1.00	BREAST:1.00
PROUD	1	Hmong-Mien	emotion	6					
ARM	1	Pama-Nyungan	human body part	5	HAND:1.18	HAND:1.00	HAND:1.00	HAND:1.00	HAND:1.00
FACE	1	Pama-Nyungan	human body part	9	FOREHEAD:1.20;HEAD:0.48;NECK:0.01;SHOULDER:0.01	FOREHEAD:1.00	FOREHEAD:1.00	FOREHEAD:1.00	FOREHEAD:1.00
JAW	1	Pama-Nyungan	human body part	7	CHEEK:1.18;CHIN:0.86	CHEEK:1.00	CHEEK:1.00	CHEEK:1.00	CHEEK:1.00
NIPPLE	1	Pama-Nyungan	human body part	12					
BLUE	1	Tucanoan	color	2	GREEN:3.00	GREEN:1.00	GREEN:1.00	GREEN:1.00	GREEN:1.00
ANXIETY	1	Tucanoan	emotion	2	REGRET:3.00	REGRET:1.00	REGRET:1.00	REGRET:1.00	REGRET:1.00
REGRET	1	Tucanoan	emotion	2	ANXIETY:3.00	ANXIETY:1.00	ANXIETY:1.00	ANXIETY:1.00	ANXIETY:1.00
REGRET	1	Uto-Aztecan	emotion	2	PITY:3.00	PITY:1.00	PITY:1.00	PITY:1.00	PITY:1.00
HIP	1	Uto-Aztecan	human body part	9					
FINGER	10	Arawakan	human body part	10	HAND:3.00	HAND:1.00	HAND:0.01	HAND:1.00	HAND:0.01
TOE	10	Arawakan	human body part	2	FOOT:1.34;LEG:0.91	FOOT:1.00	FOOT:0.01	FOOT:1.00	FOOT:0.01
RED	10	Austronesian	color	1					
WHITE	10	Austronesian	color	4					
HAPPY	10	Austronesian	emotion	5	GOOD:0.01				
BUTTOCKS	10	Austronesian	human body part	2	BREAST:0.01;BACK:0.19;EYE:0.10;EYELASH:0.01;FACE:0.08;HIP:0.01;LIP:0.02;MOUTH:0.01;NAVEL:0.03;NIPPLE:0.02	BACK:1.00	BACK:0.01	BACK:1.00	BACK:0.01
EAR	10	Austronesian	human body part	10					
HAND	10	Austronesian	human body part	7	ARM:1.56	ARM:5.00	ARM:0.39	ARM:2.00	ARM:0.06
KNEE	10	Austronesian	human body part	6	ELBOW:1.25	ELBOW:1.00	ELBOW:0.02	ELBOW:1.00	ELBOW:0.02
LIP	10	Austronesian	human body part	3	BREAST:0.01;BUTTOCKS:0.02;EYEBROW:0.04;FOOT:0.01;EYE:0.02;FACE:0.02;LEG:0.01;MOUTH:0.23;NAVEL:0.05;NIPPLE:0.02				
NAVEL	10	Austronesian	human body part	1	BREAST:0.10;BUTTOCKS:0.03;BACK:0.01;CHEST:0.09;EYE:0.04;FACE:0.04;LIP:0.05;MOUTH:0.02;NIPPLE:0.05				
NECK	10	Austronesian	human body part	9	CHIN:0.02;EYE:0.01;JAW:0.02				
NIPPLE	10	Austronesian	human body part	1	BREAST:0.66;BUTTOCKS:0.02;BACK:0.01;BELLY:0.02;CHEST:0.23;EYE:0.17;EYELASH:0.03;FACE:0.17;LIP:0.02;MOUTH:0.01;NAVEL:0.05	BREAST:4.00;FACE:1.00;EYE:1.00	BREAST:0.20;FACE:0.01;EYE:0.01	EYE:1.00	EYE:0.01
TONGUE	10	Austronesian	human body part	13					
BLACK	10	Pano-Tacanan	color	2					
WHITE	10	Pano-Tacanan	color	3	BLUE:0.01;GREEN:0.01				
YELLOW	10	Pano-Tacanan	color	1	RED:1.57	RED:2.00	RED:0.05	RED:2.00	RED:0.05
BAD	10	Pano-Tacanan	emotion	6					
GOOD	10	Pano-Tacanan	emotion	3	PITY:0.01;HAPPY:0.16;LOVE:0.04				
ANKLE	10	Pano-Tacanan	human body part	5	HEEL:3.00	HEEL:1.00	HEEL:0.02	HEEL:1.00	HEEL:0.02
BACK	10	Pano-Tacanan	human body part	2	BUTTOCKS:0.06;HIP:1.32;SHOULDER:1.49	HIP:1.00;SHOULDER:1.00	HIP:0.03;SHOULDER:0.01	SHOULDER:1.00	SHOULDER:0.01
EAR	10	Pano-Tacanan	human body part	9					
FOOT	10	Pano-Tacanan	human body part	4	ELBOW:0.03;LEG:0.53	LEG:1.00	LEG:0.01	LEG:1.00	LEG:0.01
HAND	10	Pano-Tacanan	human body part	6	ARM:0.59				
HEAD	10	Pano-Tacanan	human body part	10	LIP:0.01;MOUTH:0.02;TONGUE:0.01				
LEG	10	Pano-Tacanan	human body part	4	FOOT:0.53;ELBOW:0.29	FOOT:1.00	FOOT:0.01	FOOT:1.00	FOOT:0.01
MOUTH	10	Pano-Tacanan	human body part	10	HEAD:0.02;LIP:0.94;TONGUE:1.00	TONGUE:3.00;LIP:2.00	TONGUE:0.09;LIP:0.05	LIP:1.00	LIP:0.01
NOSE	10	Pano-Tacanan	human body part	12	NECK:0.25;TOOTH:0.43				
SHOULDER	10	Pano-Tacanan	human body part	2	BUTTOCKS:0.02;BACK:1.49;HIP:0.42	BACK:1.00	BACK:0.01	BACK:1.00	BACK:0.01
TONGUE	10	Pano-Tacanan	human body part	10	HEAD:0.01;LIP:0.38;MOUTH:1.00	MOUTH:3.00	MOUTH:0.09	MOUTH:2.00	MOUTH:0.04
TOOTH	10	Pano-Tacanan	human body part	12	NECK:0.09;NOSE:0.43				
BLUE	10	Turkic	color	1	GREY:1.12	GREY:1.00	GREY:0.03	GREY:1.00	GREY:0.03
GRIEF	10	Turkic	emotion	3	WANT:0.08;DOUBT:0.03				
LOVE	10	Turkic	emotion	5	LIKE:2.00	LIKE:1.00	LIKE:0.03	LIKE:1.00	LIKE:0.03
PAIN	10	Turkic	emotion	4					
WANT	10	Turkic	emotion	3	GRIEF:0.08				
CHIN	10	Turkic	human body part	10	HEAD:0.09;JAW:1.56	JAW:3.00	JAW:0.09	JAW:2.00	JAW:0.04
FACE	10	Turkic	human body part	9	CHEEK:1.14;FOREHEAD:0.60	CHEEK:1.00	CHEEK:0.01	CHEEK:1.00	CHEEK:0.01
FINGER	10	Turkic	human body part	12	TOE:1.95	TOE:7.00	TOE:0.49	TOE:2.00	TOE:0.04
FOREHEAD	10	Turkic	human body part	9	CHEEK:0.17;FACE:0.60				
JAW	10	Turkic	human body part	10	CHIN:1.56;HEAD:0.18	CHIN:3.00	CHIN:0.09	CHIN:2.00	CHIN:0.04
TOE	10	Turkic	human body part	12	FINGER:1.95	FINGER:7.00	FINGER:0.49	FINGER:2.00	FINGER:0.04
BAD	10	Uto-Aztecan	emotion	6					
GOOD	10	Uto-Aztecan	emotion	5					
BACK	10	Uto-Aztecan	human body part	5	BELLY:0.01;EAR:0.26;MOUTH:0.01				
BREAST	10	Uto-Aztecan	human body part	1					
EAR	10	Uto-Aztecan	human body part	5	BACK:0.26;BELLY:0.02;MOUTH:0.01				
EYE	10	Uto-Aztecan	human body part	7					
FOOT	10	Uto-Aztecan	human body part	2	LEG:1.93	LEG:9.00	LEG:0.81	LEG:9.00	LEG:0.81
HAND	10	Uto-Aztecan	human body part	4	ARM:2.50;SHOULDER:1.00	ARM:2.00	ARM:1.00	ARM:2.00	ARM:1.00
HEAD	10	Uto-Aztecan	human body part	8					
LEG	10	Uto-Aztecan	human body part	2	FOOT:1.93	FOOT:9.00	FOOT:0.81	FOOT:9.00	FOOT:0.81
MOUTH	10	Uto-Aztecan	human body part	6	BACK:0.01;BELLY:0.10;EAR:0.01;TOOTH:0.69	TOOTH:1.00	TOOTH:0.01	TOOTH:1.00	TOOTH:0.01
NECK	10	Uto-Aztecan	human body part	10					
SHOULDER	10	Uto-Aztecan	human body part	4	ARM:2.00;HAND:1.00	ARM:1.00	ARM:0.25	ARM:1.00	ARM:0.25
TONGUE	10	Uto-Aztecan	human body part	11					
TOOTH	10	Uto-Aztecan	human body part	6	BELLY:0.01;MOUTH:0.69	MOUTH:1.00	MOUTH:0.01	MOUTH:1.00	MOUTH:0.01
BUTTOCKS	101	Atlantic-Congo	human body part	2	FOOT:0.26;HEEL:0.07;KNEE:0.03;BACK:0.19;ELBOW:0.03;HIP:0.59;LEG:0.26	HIP:2.00	HIP:0.00	HIP:2.00	HIP:0.00
CHEEK	101	Atlantic-Congo	human body part	6	HEEL:0.02;KNEE:0.01;CHIN:0.67;ELBOW:0.05;JAW:0.94;LIP:0.23;MOUTH:0.25;NAVEL:0.03	JAW:8.00;CHIN:2.00	JAW:0.01;CHIN:0.00	CHIN:1.00	CHIN:0.00
FACE	101	Atlantic-Congo	human body part	9	BREAST:0.12;EYE:0.36;NIPPLE:0.01	EYE:1.00	EYE:0.00	EYE:1.00	EYE:0.00
LOVE	101	Sino-Tibetan	emotion	2	FEAR (FRIGHT):0.01;HAPPY:0.06;GOOD:0.01;LIKE:0.12;BAD:0.01;WANT:0.04	WANT:1.00;LIKE:2.00	WANT:0.00;LIKE:0.00	LIKE:2.00	LIKE:0.00
CHIN	101	Sino-Tibetan	human body part	7	ARM:0.01;CHEEK:0.12;FACE:0.04;HAND:0.01;JAW:0.30;LIP:0.51;MOUTH:0.13;TOOTH:0.01	JAW:1.00;LIP:2.00	JAW:0.00;LIP:0.00	LIP:2.00	LIP:0.00
SHOULDER	102	Sino-Tibetan	human body part	5	ARM:0.18;CHEST:0.15;ELBOW:0.01;FINGER:0.01;HAND:0.11;NECK:0.01;TOE:0.01;TOOTH:0.01;WRIST:0.01	ARM:1.00;CHEST:1.00	ARM:0.00;CHEST:0.00	CHEST:1.00	CHEST:0.00
BACK	103	Atlantic-Congo	human body part	2	BUTTOCKS:0.19;FOOT:0.03;HEEL:0.01;KNEE:0.01;HIP:0.24;JAW:0.01;LEG:0.03;LIP:0.01;MOUTH:0.01;NAVEL:0.03	HIP:1.00	HIP:0.00	HIP:1.00	HIP:0.00
LIP	103	Atlantic-Congo	human body part	6	BACK:0.01;CHEEK:0.23;CHIN:0.05;JAW:0.50;MOUTH:2.41;NAVEL:0.01	MOUTH:56.00;JAW:2.00	MOUTH:0.30;JAW:0.00	JAW:2.00	JAW:0.00
SHOULDER	103	Atlantic-Congo	human body part	10	NAVEL:0.01				
FOOT	104	Atlantic-Congo	human body part	2	BUTTOCKS:0.26;EYEBROW:0.01;HEEL:0.37;KNEE:0.09;BACK:0.03;ELBOW:0.12;HIP:0.25;LEG:2.38	LEG:95.00;HEEL:1.00	LEG:0.83;HEEL:0.00	HEEL:1.00	HEEL:0.00
HAND	104	Atlantic-Congo	human body part	4	HEEL:0.14;KNEE:0.07;ARM:2.48;ELBOW:0.38;LEG:0.01	ARM:93.00;ELBOW:1.00	ARM:0.80;ELBOW:0.00	ELBOW:1.00	ELBOW:0.00
WANT	104	Sino-Tibetan	emotion	2	FEAR (FRIGHT):0.01;GRIEF:0.01;SHAME:0.01;PAIN:0.01;HAPPY:0.06;HATE:0.01;LOVE:0.04;PROUD:0.01;GOOD:0.01;LIKE:0.04;ANGRY:0.01	LOVE:1.00;HAPPY:1.00	LOVE:0.00;HAPPY:0.00	HAPPY:1.00	HAPPY:0.00
CHIN	105	Atlantic-Congo	human body part	6	CHEEK:0.67;ELBOW:0.01;JAW:0.25;LIP:0.05;MOUTH:0.06	CHEEK:2.00	CHEEK:0.00	CHEEK:1.00	CHEEK:0.00
BACK	105	Sino-Tibetan	human body part	2	BUTTOCKS:0.13;FOOT:0.02;HIP:0.17;LEG:0.02;TOOTH:0.01				
FOOT	107	Sino-Tibetan	human body part	4	BUTTOCKS:0.01;KNEE:0.01;ARM:0.01;BACK:0.02;CHEST:0.01;ELBOW:0.02;HAND:0.01;HIP:0.02;LEG:1.19;NAVEL:0.01;TONGUE:0.03;WRIST:0.05	LEG:47.00	LEG:0.27	LEG:10.00	LEG:0.01
FOREHEAD	107	Sino-Tibetan	human body part	9					
SHAME	109	Atlantic-Congo	emotion	2	GRIEF:1.86;GOOD:0.02	GRIEF:2.00	GRIEF:0.00	GRIEF:1.00	GRIEF:0.00
ARM	11	Arawakan	human body part	4	HEAD:0.01				
LIP	11	Arawakan	human body part	12	MOUTH:0.03				
GRIEF	11	Sino-Tibetan	emotion	3	PAIN:0.37;GOOD:0.01;BAD:0.01;WANT:0.01	PAIN:1.00	PAIN:0.01	PAIN:1.00	PAIN:0.01
BLACK	11	Turkic	color	3					
GREEN	11	Turkic	color	5					
RED	11	Turkic	color	2					
WHITE	11	Turkic	color	4					
BAD	11	Turkic	emotion	7					
GOOD	11	Turkic	emotion	6					
ARM	11	Turkic	human body part	6	HAND:2.03	HAND:7.00	HAND:0.40	HAND:2.00	HAND:0.03
BACK	11	Turkic	human body part	7					
BREAST	11	Turkic	human body part	1	NIPPLE:1.51	NIPPLE:1.00	NIPPLE:0.06	NIPPLE:1.00	NIPPLE:0.06
CHEEK	11	Turkic	human body part	9	FACE:1.14;FOREHEAD:0.17	FACE:1.00	FACE:0.01	FACE:1.00	FACE:0.01
EYE	11	Turkic	human body part	11					
FOOT	11	Turkic	human body part	4	LEG:1.41	LEG:3.00	LEG:0.07	LEG:2.00	LEG:0.03
HAND	11	Turkic	human body part	6	ARM:2.03	ARM:7.00	ARM:0.40	ARM:2.00	ARM:0.03
HEAD	11	Turkic	human body part	10	CHIN:0.09;JAW:0.18				
KNEE	11	Turkic	human body part	5					
LEG	11	Turkic	human body part	4	FOOT:1.41	FOOT:3.00	FOOT:0.07	FOOT:2.00	FOOT:0.03
MOUTH	11	Turkic	human body part	14	NECK:0.46				
NAVEL	11	Turkic	human body part	15					
NECK	11	Turkic	human body part	14	MOUTH:0.46				
NOSE	11	Turkic	human body part	16					
TONGUE	11	Turkic	human body part	17					
TOOTH	11	Turkic	human body part	18					
DOUBT	11	Uralic	emotion	7					
BREAST	111	Atlantic-Congo	human body part	1	HEEL:0.01;KNEE:0.01;EYE:0.02;FACE:0.12;NIPPLE:1.06	NIPPLE:1.00	NIPPLE:1.00	NIPPLE:1.00	NIPPLE:1.00
BAD	112	Atlantic-Congo	emotion	1	HATE:0.01				
GREEN	112	Sino-Tibetan	color	1	GREY:0.13;RED:0.02;BLUE:0.38;YELLOW:0.10	YELLOW:2.00;BLUE:7.00	YELLOW:0.00;BLUE:0.01	BLUE:4.00	BLUE:0.00
GOOD	113	Atlantic-Congo	emotion	2	GRIEF:0.01;SHAME:0.02				
FINGER	114	Atlantic-Congo	human body part	8	EAR:0.04;NECK:0.15;TOE:2.24	TOE:21.00	TOE:0.05	TOE:5.00	TOE:0.00
ARM	114	Sino-Tibetan	human body part	5	FOOT:0.01;CHEEK:0.12;CHEST:0.02;CHIN:0.01;ELBOW:0.38;FACE:0.02;FINGER:0.69;HAND:1.14;JAW:0.06;LEG:0.01;NECK:0.03;SHOULDER:0.18;TOE:0.50;TONGUE:0.01;TOOTH:0.01;WRIST:0.26	HAND:34.00;FINGER:1.00;WRIST:1.00;SHOULDER:1.00;ELBOW:1.00	HAND:0.09;FINGER:0.00;WRIST:0.00;SHOULDER:0.00;ELBOW:0.00	ELBOW:1.00	ELBOW:0.00
ARM	115	Atlantic-Congo	human body part	4	HEEL:0.14;KNEE:0.07;ELBOW:0.38;HAND:2.48;LEG:0.01	HAND:93.00;ELBOW:1.00	HAND:0.80;ELBOW:0.00	ELBOW:1.00	ELBOW:0.00
EAR	115	Atlantic-Congo	human body part	8	FINGER:0.04;HEAD:0.01;NECK:0.43;TOE:0.05;TONGUE:0.01	NECK:1.00	NECK:0.00	NECK:1.00	NECK:0.00
EYE	115	Atlantic-Congo	human body part	9	BREAST:0.02;FACE:0.36	FACE:1.00	FACE:0.00	FACE:1.00	FACE:0.00
KNEE	115	Atlantic-Congo	human body part	2	BREAST:0.01;BUTTOCKS:0.03;FOOT:0.09;HEEL:0.28;ARM:0.07;BACK:0.01;CHEEK:0.01;ELBOW:0.25;HAND:0.07;HIP:0.03;LEG:0.10	HEEL:1.00;ELBOW:1.00	HEEL:0.00;ELBOW:0.00	ELBOW:1.00	ELBOW:0.00
LEG	115	Atlantic-Congo	human body part	2	BUTTOCKS:0.26;FOOT:2.38;HEEL:0.37;KNEE:0.10;ARM:0.01;BACK:0.03;ELBOW:0.13;HAND:0.01;HIP:0.25	FOOT:95.00;HEEL:1.00	FOOT:0.83;HEEL:0.00	HEEL:1.00	HEEL:0.00
NECK	115	Atlantic-Congo	human body part	8	EAR:0.43;FINGER:0.15;TOE:0.25	EAR:1.00;TOE:1.00	EAR:0.00;TOE:0.00	TOE:1.00	TOE:0.00
FINGER	115	Sino-Tibetan	human body part	5	ARM:0.69;CHEEK:0.01;ELBOW:0.03;HAND:0.34;SHOULDER:0.01;TOE:1.33;WRIST:0.02	ARM:1.00;TOE:1.00	ARM:0.00;TOE:0.00	TOE:1.00	TOE:0.00
MOUTH	116	Atlantic-Congo	human body part	6	BACK:0.01;CHEEK:0.25;CHIN:0.06;JAW:0.59;LIP:2.41;NAVEL:0.01	LIP:56.00;JAW:3.00	LIP:0.30;JAW:0.00	JAW:2.00	JAW:0.00
TONGUE	116	Atlantic-Congo	human body part	5	BELLY:0.01;EAR:0.01;HEAD:0.03				
TOOTH	116	Atlantic-Congo	human body part	11	HEAD:0.01;NOSE:0.02				
HEAD	117	Atlantic-Congo	human body part	5	EAR:0.01;TONGUE:0.03;TOOTH:0.01				
