Concept	Tag	Languages	Families
WE		637	76
I		924	139
YOU		885	137
THOU		922	139
THEY		813	134
HE		173	42
ABOVE		314	83
ALL		918	136
ANT		681	121
ARROW		808	87
ASH		970	145
AXE		760	77
BACK	human body part	883	145
BAD	emotion	949	144
BAMBOO		501	52
BANANA		356	22
BEAR		380	54
BEE		627	71
BELLY	human body part	595	107
BELOW OR UNDER		679	127
BETELNUT		116	3
BIG		1025	145
BIRD		983	142
BITTER		726	133
BLACK	color	1006	142
BLANKET		363	80
BLOOD		997	145
BOAT		499	71
BODY		746	131
BONE		986	145
BOW		796	86
BRANCH		330	22
BROKEN		200	49
BROOM		546	76
BUFFALO		177	17
CANDLE		279	52
CAT		731	88
CHEEK	human body part	611	80
CHICKEN		580	81
CHIN	human body part	800	82
CLOTH		521	68
CLOTHES		628	84
CLOUD		992	144
COCKROACH		321	54
COCONUT		273	39
COLD		896	143
COOKED RICE		152	4
MAIZE		623	75
COW		578	75
CROCODILE		424	55
DAUGHTER		520	78
DAY (NOT NIGHT)		755	143
DEEP		463	115
DEER		433	74
DOG		1007	145
DOOR		732	87
DRY		935	144
DUCK		596	83
DUST		785	138
EAR	human body part	1013	146
EGG		988	142
EIGHT		674	118
ELBOW	human body part	709	87
OLDER BROTHER		517	66
OLDER SISTER		415	62
ELEPHANT		439	31
ELEVEN		490	104
EMPTY		576	121
EVENING		453	75
EYE	human body part	1018	145
FACE	human body part	686	81
FAR		944	142
FAST		636	123
FAT (OBESE)		256	23
FATHER		946	97
FEW		668	120
FINGER	human body part	792	140
FINGERNAIL		811	139
FIRE		1012	145
FISH		1002	140
FIVE		749	137
FLOWER		820	139
FLY (INSECT)		830	141
FOOT	human body part	817	145
FOUR		785	139
FRIEND		520	81
FROG		778	74
FRUIT		770	72
FULL		765	136
GOAT		511	56
GOLD		422	65
GOOD	emotion	1015	144
GREEN	color	735	137
HAIR (HEAD)		513	82
HAMMER		307	53
HAND	human body part	826	144
HEAD	human body part	1018	146
HEART		943	139
HEAVY		921	144
HORN (ANATOMY)		692	133
HOT		801	143
HOUSE		932	142
HOW MANY		394	18
HUNDRED		607	65
BE HUNGRY		416	36
HUSBAND		736	86
INSECT		293	41
KNEE	human body part	945	141
KNIFE		816	91
LEAF		908	143
LEFT		924	137
LIGHT (WEIGHT)		583	112
LIGHTNING		784	79
LONG		1002	139
MAN		728	141
MANY		803	129
MEAT		699	81
MEDICINE		659	85
MILK		766	131
MONKEY		561	53
MONTH		375	73
MOON		1005	144
MORNING		645	73
MOSQUITO		894	88
MOTHER		937	97
MOUNTAIN		601	89
MOUTH	human body part	1012	143
MUD		609	69
NAME		1002	142
NARROW		593	127
NEAR		940	141
NECK	human body part	1000	146
NEEDLE (FOR SEWING)		471	75
NEW		978	137
NIGHT		970	146
NINE		641	118
MIDDAY		426	73
NOSE	human body part	1014	146
OIL (ORGANIC SUBSTANCE)		412	69
OLD (AGED)		341	77
ONE		958	146
ONION		154	20
PALM OF HAND		487	74
PAPER		354	70
PATH		620	130
GROUNDNUT (PEANUT)		171	12
PERSON		849	136
PIG		679	76
PILLOW		431	65
POTATO		247	59
RABBIT		366	56
RAIN (PRECIPITATION)		893	146
RAINBOW		557	85
