Family	Languages	Nodes	Edges	Degree	Emotion	EmotionSigma	Body	BodySigma	Color	ColorSigma
Cochimi-Yuman	3	411	70	0.37	0.29	0.45	0.43	0.28	0.57	0.17
Huitotoan	4	385	31	0.19	0.50	0.07	0.23	0.23	0.20	0.26
Chocoan	6	1068	379	0.73	0.59	0.60	1.14	0.01	1.33	0.09
Chibchan	7	906	237	0.58	0.09	0.94	1.00	0.02	1.00	0.16
Cariban	9	1287	646	1.17	1.00	0.63	1.11	0.54	2.00	0.10
Austronesian	10	1313	2360	4.25	3.77	0.68	4.81	0.22	1.86	0.97
Pano-Tacanan	10	1255	1243	2.36	2.21	0.56	2.33	0.51	3.83	0.10
Turkic	11	1376	857	1.53	1.10	0.84	1.86	0.13	1.57	0.42
Uto-Aztecan	11	1299	500	0.86	0.58	0.78	1.89	0.00	0.67	0.51
Tungusic	12	1187	357	0.67	1.36	0.02	0.92	0.09	0.14	0.84
Arawakan	14	1273	727	1.39	0.58	0.98	1.28	0.62	3.83	0.00
Dogon	16	290	130	1.01	1.50	0.17	1.62	0.02	0.33	0.70
Tucanoan	18	1156	512	0.98	0.75	0.70	1.56	0.01	2.67	0.01
Austroasiatic	22	1277	1721	3.72	3.89	0.37	3.64	0.50	2.33	0.81
Hmong-Mien	24	1348	1194	1.91	1.58	0.66	1.44	0.86	6.00	0.00
Uralic	26	1378	1452	3.48	2.71	0.76	3.42	0.51	4.14	0.28
Tai-Kadai	28	1351	2447	4.48	4.55	0.43	4.89	0.26	5.86	0.17
Nakh-Daghestanian	33	1224	2546	6.83	3.05	1.00	7.37	0.33	4.00	0.86
Tupian	42	1278	1554	2.88	3.42	0.20	3.06	0.35	9.17	0.00
Pama-Nyungan	55	995	472	1.26	0.62	0.87	3.11	0.00	1.00	0.48
Afro-Asiatic	61	1408	1532	2.94	2.19	0.82	5.25	0.00	5.86	0.04
Indo-European	70	1407	4109	9.59	7.43	0.88	11.17	0.16	8.00	0.68
Atlantic-Congo	118	1370	10216	15.81	10.39	0.65	6.69	0.90	3.33	0.61
Sino-Tibetan	152	1460	6584	10.62	12.86	0.19	11.86	0.26	20.14	0.03
