Family	Languages	Nodes	Edges	Degree	Emotion	Emotion_Eff	Emotion_Sig	Body	Body_Eff	Body_Sig	Color	Color_Eff	Color_Sig
Uto-Aztecan	2	1267	359	0.57	0.53	-0.05	0.51	0.47	-0.09	0.69	0.67	0.09	0.27
Cariban	6	1263	632	1.00	1.00	0.01	0.42	0.78	-0.22	0.81	1.33	0.35	0.19
Chocoan	6	1073	380	0.71	0.59	-0.13	0.61	1.09	0.37	0.03	1.33	0.61	0.09
Pano-Tacanan	9	1208	1219	2.02	1.84	-0.20	0.61	1.86	-0.17	0.62	2.17	0.17	0.36
Austronesian	10	1321	2380	3.60	3.18	-0.44	0.71	3.89	0.25	0.31	1.86	-1.71	0.92
Arawakan	11	1245	710	1.14	0.53	-0.60	0.98	0.94	-0.19	0.78	2.33	1.21	0.02
Turkic	11	1390	860	1.24	1.05	-0.19	0.69	1.56	0.32	0.10	1.57	0.35	0.22
Tungusic	12	1190	353	0.59	1.18	0.58	0.03	0.83	0.24	0.07	0.14	-0.44	0.86
Tucanoan	17	1128	502	0.89	0.75	-0.16	0.66	1.17	0.28	0.09	2.33	1.46	0.01
Austroasiatic	21	1285	1668	2.60	3.26	0.60	0.14	2.44	-0.16	0.60	2.00	-0.64	0.69
Hmong-Mien	24	1369	1197	1.75	1.47	-0.29	0.65	1.28	-0.47	0.88	4.17	2.42	0.02
Atlantic-Congo	26	1323	785	1.19	0.22	-0.96	1.00	2.11	0.93	0.01	1.83	0.67	0.16
Uralic	26	1390	1457	2.10	2.24	0.14	0.35	2.00	-0.12	0.61	2.71	0.65	0.20
Tai-Kadai	28	1356	2465	3.64	3.70	0.06	0.43	4.22	0.58	0.12	4.86	1.22	0.14
Nakh-Daghestanian	34	1236	2653	4.29	1.89	-2.39	1.00	5.29	1.01	0.05	1.83	-2.44	0.95
Tupian	41	1285	1566	2.44	2.89	0.45	0.19	2.75	0.32	0.22	6.33	3.91	0.00
Pama-Nyungan	54	994	470	0.95	0.62	-0.31	0.78	1.94	1.00	0.00	1.00	0.06	0.37
Indo-European	57	1421	2979	4.19	3.71	-0.50	0.69	6.28	2.07	0.00	3.00	-1.17	0.76
Afro-Asiatic	61	1420	1540	2.17	1.29	-0.87	0.95	3.64	1.46	0.00	3.71	1.53	0.05
Sino-Tibetan	151	1450	6461	8.91	10.76	1.88	0.20	9.89	0.97	0.27	18.14	9.18	0.02
