Family	Languages	Nodes	Edges	Degree	Emotion	EmotionSigma	Body	BodySigma	Color	ColorSigma
Cochimi-Yuman	3	411	70	0.37	0.29	0.42	0.43	0.28	0.57	0.17
Huitotoan	4	385	31	0.33	1.50	0.05	0.27	0.57	0.60	0.16
Chocoan	6	1068	379	0.83	0.65	0.64	1.49	0.00	1.33	0.14
Chibchan	7	906	237	0.60	0.09	0.94	1.08	0.01	1.00	0.15
Cariban	9	1287	646	1.23	1.00	0.68	1.14	0.60	2.00	0.14
Austronesian	10	1313	2360	4.57	3.86	0.74	5.94	0.03	1.86	0.96
Pano-Tacanan	10	1255	1243	2.70	2.37	0.61	2.61	0.53	5.50	0.03
Turkic	11	1376	857	1.97	1.19	0.91	2.97	0.03	2.29	0.32
Uto-Aztecan	11	1299	500	0.87	0.58	0.77	1.92	0.00	0.67	0.49
Tungusic	12	1187	357	0.85	1.36	0.13	2.03	0.01	0.14	0.87
Arawakan	14	1273	727	1.46	0.58	0.99	1.36	0.56	3.83	0.01
Dogon	16	290	130	1.55	4.00	0.07	2.75	0.02	0.33	0.72
Tucanoan	18	1156	512	1.26	0.75	0.79	2.31	0.01	4.50	0.01
Austroasiatic	22	1277	1721	4.13	4.16	0.44	4.44	0.33	2.33	0.81
Hmong-Mien	24	1348	1194	2.42	1.79	0.74	1.67	0.88	10.17	0.00
Uralic	26	1378	1452	4.43	2.90	0.89	5.92	0.06	4.86	0.36
Tai-Kadai	28	1351	2447	5.88	5.45	0.60	6.56	0.25	8.14	0.16
Nakh-Daghestanian	33	1224	2546	10.64	4.89	0.99	11.80	0.26	4.17	0.93
Tupian	42	1278	1554	3.36	4.26	0.16	3.64	0.34	12.50	0.00
Pama-Nyungan	55	995	472	1.49	0.69	0.86	3.78	0.00	1.00	0.54
Afro-Asiatic	61	1408	1532	3.26	2.19	0.86	7.06	0.00	6.00	0.07
Indo-European	70	1407	4109	13.56	8.81	0.93	18.25	0.04	11.86	0.57
Atlantic-Congo	118	1370	10216	18.05	13.83	0.59	23.11	0.25	3.83	0.70
Sino-Tibetan	152	1460	6584	14.17	15.27	0.37	17.58	0.12	40.43	0.00
