Family	Languages	Nodes	Edges	Degree	Emotion	Emotion_Eff	Emotion_Sig	Body	Body_Eff	Body_Sig	Color	Color_Eff	Color_Sig
Chocoan	6	1068	379	0.71	0.59	-0.12	0.59	1.09	0.38	0.02	1.33	0.62	0.09
Cariban	9	1287	646	1	1	0	0.46	0.86	-0.14	0.69	1.33	0.32	0.2
Austronesian	10	1312	2360	3.6	3.09	-0.49	0.74	3.89	0.27	0.3	1.71	-2	0.96
Pano-Tacanan	10	1255	1242	1.98	1.84	-0.13	0.54	1.89	-0.1	0.57	2.33	0.35	0.29
Uto-Aztecan	11	1298	500	0.77	0.53	-0.24	0.75	1.22	0.46	0.03	0.67	-0.08	0.43
Turkic	11	1375	857	1.25	1.05	-0.21	0.68	1.56	0.3	0.1	1.57	0.31	0.26
Tungusic	12	1185	357	0.6	1.18	0.57	0.04	0.81	0.19	0.12	0.14	-0.48	0.86
Arawakan	14	1273	727	1.14	0.58	-0.57	0.96	0.94	-0.2	0.77	2.67	1.53	0.01
Tucanoan	18	1157	512	0.89	0.75	-0.14	0.62	1.14	0.26	0.11	2.33	1.42	0.01
Austroasiatic	22	1276	1721	2.7	3.26	0.54	0.16	2.61	-0.09	0.56	2	-0.68	0.71
Hmong-Mien	24	1347	1193	1.77	1.42	-0.36	0.72	1.31	-0.46	0.89	4.17	2.4	0.02
Uralic	26	1377	1452	2.11	2.24	0.12	0.36	2	-0.11	0.6	2.71	0.61	0.21
Tai-Kadai	28	1350	2447	3.63	3.65	0.03	0.44	4.22	0.57	0.15	4.86	1.17	0.14
Nakh-Daghestanian	33	1223	2545	4.16	2	-2.15	1	4.97	0.76	0.11	1.83	-2.19	0.95
Tupian	42	1278	1565	2.45	2.89	0.45	0.22	2.75	0.32	0.2	6.33	3.85	0
Pama-Nyungan	55	995	472	0.95	0.62	-0.32	0.8	1.94	1	0	1	0.05	0.36
Afro-Asiatic	61	1407	1531	2.18	1.29	-0.87	0.96	3.61	1.44	0	3.71	1.6	0.05
Indo-European	70	1406	4107	5.84	5.38	-0.46	0.65	7.47	1.61	0.03	5.71	-0.14	0.48
Atlantic-Congo	118	1370	10102	14.75	9.06	-6.41	0.75	4.22	-10.66	0.98	3.17	-12.53	0.55
Sino-Tibetan	152	1459	6583	9.02	10.14	1.14	0.27	9.97	0.94	0.27	17.57	8.48	0.02
